No,name,region,address,경도,위도,상태
651,무주채폭포,경기 가평군,경기도 가평군 북면 제령리,?,?,실패
655,성령대군묘,경기 고양시,경기도 고양시 덕양구 대자동,?,?,실패
664,최영장군묘,경기 고양시,경기도 고양시 덕양구 대자동,?,?,실패
665,대부산,경기 양평군,경기도 양평군 옥천면 신복리,?,?,실패
668,구리역공원,경기 구리시,경기도 구리시 인창동,?,?,실패
674,파주 율곡습지공원,경기 파주시,경기도 파주시 파평면 율곡리,?,?,실패
676,삼봉리 한식마을,경기 남양주시,경기도 남양주시 조안면 삼봉리,?,?,실패
677,화성 당성,경기 화성시,경기도 화성시 서신면 상안리,?,?,실패
678,화적연 (한탄강 국가지질공원),경기 포천시,경기도 포천시 관인면 사정리,?,?,실패
680,파주 윤관장군묘,경기 파주시,경기도 파주시 광탄면,?,?,실패
690,불곡산,경기 양주시,경기도 양주시 유양동,?,?,실패
692,이익선생묘,경기 안산시,경기도 안산시 상록구 일동,?,?,실패
707,대동법시행기념비,경기 평택시,경기도 평택시 소사동,?,?,실패
716,공릉천,경기 고양시,경기도 고양시 덕양구 신원동,?,?,실패
719,일영유원지,경기 양주시,경기도 양주시 장흥면 삼상리,?,?,실패
723,문안산,경기 남양주시,경기도 남양주시 화도읍 금남리,?,?,실패
727,조종암,경기 가평군,경기도 가평군 조종면 대보리,?,?,실패
736,원균장군묘,경기 평택시,경기도 평택시 도일동,?,?,실패
738,윤계선생순절비,경기 화성시,경기도 화성시 남양읍 남양리,?,?,실패
740,꾸메숲 버섯나라,경기 이천시,경기도 이천시 모가면 서경리,?,?,실패
748,파주 덕은리 주거지와 지석묘군,경기 파주시,경기도 파주시 월롱면 능산리,?,?,실패
761,연천 유엔(UN)군 화장장시설,경기 연천군,경기도 연천군 미산면,?,?,실패
777,선유동마애불사존불상,경기 안성시,경기도 안성시 일죽면 선유동길,?,?,실패
785,곱돌광산약수터,경기 하남시,경기도 하남시 창우동,?,?,실패
791,강씨봉,경기 포천시,경기도 포천시 일동면 사직리,?,?,실패
794,서운산,경기 안성시,경기 안성시 서운면 청룡리,?,?,실패
798,보가산성지(지장산),경기 포천시,경기도 포천시 관인면,?,?,실패
799,만의사(화성),경기 화성시,경기도 화성시 동탄면 풀무골로 219,?,?,실패
808,순교자 황사영 알렉시오 묘,경기 양주시,경기도 양주시 장흥면 부곡리,?,?,실패
809,정충묘,경기 광주시,경기도 광주시 초월읍 대쌍령리,?,?,실패
812,서운산성,경기 안성시,경기도 안성시 서운면 산평리,?,?,실패
824,화야산,경기 가평군,경기 가평군 청평면 삼회리,?,?,실패
825,가리산(포천),경기 포천시,경기도 포천시 이동면 장암리,?,?,실패
827,청평호반 매운탕촌,경기 가평군,경기도 가평군 설악면 회곡리,?,?,실패
829,안성 봉업사지,경기 안성시,경기도 안성시 죽산면 죽산리,?,?,실패
830,의안대군방석묘역,경기 광주시,경기도 광주시 남한산성면 엄미길,?,?,실패
831,대금산(경기),경기 가평군,경기 가평군 가평읍 두밀리,?,?,실패
