title,location,Latitude,Longitude,stars,key_words
아야진해수욕장,강원 고성군 토성면,38.2571927,128.558578,4.26,"['아담한', '깨끗한', '편안한', '유니크한', '평화로운', '해변', '스노클링', '횟집', '항구', '캠핑', '가족여행', '경치', '커플여행', '힐링', '나들이']"
망상해수욕장,강원 동해시 망상동,37.557854,129.1046244,4.19,"['재미있는', '깨끗한', '편안한', '운치있는', '아기자기', '시장', '오토캠핑', '온천', '해변', '카라반', '가족여행', '커플여행', '드라이브', '힐링', '기차여행']"
송지호해수욕장,강원 고성군 죽왕면,38.3288177,128.5255585,3.91,"['아늑한', '깨끗한', '친절하고', '아기자기', '시끌벅적한', '스노클링', '계곡', '해변', '캠핑', '바다낚시', '갯벌체험', '가족여행', '경치', '싱싱한', '힐링']"
제이드가든,강원 춘천시 남산면 햇골길 80 제이드가든수목원,37.8325325,127.5422982,4.32,"['재미있는', '유럽풍', '아기자기', '화려한', '편안한', '수목원', '닭갈비', '레스토랑', '드라이브', '레일바이크', '가을여행', '가족여행', '드라마촬영지', '단풍구경', '기차여행']"
영금정,강원 속초시 영금정로 43,38.2118208,128.6014013,4.07,"['웅장한', '깨끗한', '운치있는', '옛모습', '신비한', '야경', '해변', '전망대', '아바이순대', '오징어순대', '경치', '커플여행', '힐링', '단풍여행', '촬영지']"
주문진항,강원 강릉시 주문진읍 주문리,37.8990315,128.8227808,4.32,"['재미있는', '활기찬', '깨끗한', '화려한', '편안한', '횟집', '대게', '건어물', '수산시장', '홍게', '가족여행', '경치', '싱싱한', '드라이브', '촬영지']"
추암촛대바위,강원 동해시 추암동,37.4738654,129.1511144,4.43,"['아담한', '깨끗한', '평온한', '웅장한', '포근한', '바다열차', '공원', '해변', '일출', '레일바이크', '가족여행', '경치', '촬영지', '드라이브', '기차여행']"
고석정,강원 철원군 동송읍 장흥리,38.1949076,127.2647731,4.38,"['재미있는', '멋스러운', '신비로운', '웅장한', '깨끗한', '폭포', '래프팅', '트래킹', '온천', '계곡', '가족여행', '경치', '가족나들이', '드라이브', '드라마촬영지']"
설악 케이블카,강원 속초시 설악산로 1085,38.1730998,128.4890543,4.36,"['산', '깨끗한','재미있는', '멋스러운', '신비로운', '웅장한', '깨끗한', '케이블 카',' 전망대','가족여행','경치','촬영지' ]"
대관령 하늘목장,강원 평창군 대관령면 꽃밭양지길 458-23,37.7101962,128.7275601,4.45,"['재미있는', '목가적인', '이국적', '평화로운', '깨끗한', '눈썰매', '한우', '전망대', '목장', '동물원', '가족여행', '가을여행', '주말여행', '승마체험', '단풍구경']"
화암동굴,강원 정선군 화암면 화암리 산248,37.3513213,128.7892511,4.3,"['옛모습', '재미있는', '화려한', '신비로운', '웅장한', '계곡', '시장', '캠핑', '모노레일', '동굴', '공포체험', '가족여행', '경치', '휴식', '기차여행']"
드라마[도깨비]촬영지,강원 강릉시 주문진읍 교항리,37.8789811,128.8177091,4,"['재미있는', '멋스러운', '신비로운', '웅장한', '깨끗한', '케이블 카',' 전망대','가족여행','경치','촬영지']"
사천해변,강원 강릉시 사천면,37.8235253,128.848694,4.25,"['재미있는', '고급진', '깨끗한', '분위기좋은', '이국적', '물회', '커피거리', '해변', '캠핑', '스노클링', '가족여행', '힐링', '경치', '드라이브', '나들이']"
속삭이는자작나무숲,강원 인제군 인제읍 자작나무숲길 760 자작나무숲 안내소,37.9966504,128.2005532,4.41,"['깨끗한', '이국적', '편안한', '몽환적인', '신비로운', '계곡', '자작나무길', '트래킹', '산책', '막국수', '가을여행', '산행', '드라이브', '등산', '힐링']"
미인폭포,강원 삼척시 도계읍 심포리 미인폭포,37.1806114,129.0491528,4.4,"['신비로운', '웅장한', '신비한', '폭포', '암벽', '테마파크', '동굴', '계곡', '숨은', '산행', '가을여행', '등산', '휴식']"
낙산해수욕장,강원 양양군 강현면 해맞이길 59,38.1167945,128.6340071,4.25,"['재미있는', '낭만적인', '깨끗한', '화려한', '운치있는', '시장', '밤바다', '해변', '조개구이', '일출', '가족여행', '경치', '드라이브', '힐링', '나들이']"
무릉계곡,강원 동해시 삼화로 584 삼화사,37.4638354,129.0143586,4.39,"['재미있는', '깨끗한', '화려한', '편안한', '웅장한', '폭포', '캠핑', '트래킹', '산채비빔밥', '계곡', '경치', '가족여행', '산행', '등산', '기차여행']"
오대산월정사전나무숲길,강원 평창군 진부면 오대산로 350-1,37.7706139,128.5721311,4.05,"['청량한', '고즈넉한', '화려한', '편안한', '깨끗한', '바다열차', '국립공원', '산림욕', '산책', '전나무숲길', '템플스테이', '촬영지', '힐링', '등산', '기차여행']"
강문해변,강원 강릉시 강문동,37.7897339,128.9200001,4.45,"['아늑한', '아담한', '깨끗한', '이국적', '운치있는', '커피거리', '물회', '해변', '수제버거', '야경', '주말여행', '촬영지', '커플여행', '가을여행', '가족여행']"
해피초원목장,강원 춘천시 사북면 춘화로 330-48,37.9789954,127.6953254,4.39,"['목가적인', '깨끗한', '아기자기', '평화로운', '햄버거', '눈썰매', '한우', '농장', '목장', '가족여행', '경치', '동물체험', '힐링', '나들이']"
등대해수욕장,강원 속초시 영랑동,38.2239007,128.5879596,4.23,"['아담한', '깨끗한', '낭만적인', '웅장한', '평화로운', '해변', '전망대', '스킨스쿠버', '시장', '캠핑', '나들이', '경치', '힐링', '드라이브', '가족여행']"
외옹치항,강원 속초시 대포동,38.1656852,128.5569925,4.36,"['조그마한', '깨끗한', '화려한', '소박한', '웅장한', '물회', '도루묵', '매운탕', '항구', '횟집', '가족여행', '경치', '싱싱한', '힐링', '촬영지']"
구곡폭포,강원 춘천시 남산면 강촌구곡길 254,37.7970306,127.615758,4.42,"['소박한', '조그마한', '깨끗한', '편안한', '웅장한', '폭포', '산림욕', '레일바이크', '숯불닭갈비', '계곡', '가족여행', '산행', '가족나들이', '드라이브', '등산']"
임원항,강원 삼척시 원덕읍 임원리,37.2395383,129.3139976,4,"['재미있는', '조그마한', '깨끗한', '편안한', '작은규모', '공원', '감성돔', '항구', '횟집', '대게', '나들이', '경치', '싱싱한', '드라이브', '휴식']"
순긋해변,강원 강릉시 안현동,37.8019111,128.8758249,4.23,"['재미있는', '친절하고', '깨끗한', '분위기좋은', '편안한', '밤바다', '해변', '캠핑', '순두부', '시장', '가족여행', '경치', '힐링', '드라이브', '촬영지']"
천곡황금박쥐동굴,강원 동해시 동굴로 50,37.517365,129.1102094,4.37,"['몽환적인', '깨끗한', '웅장한', '신비한', '편안한', '해변', '온천', '시장', '동굴', '대게', '공포체험', '가족여행', '기차여행', '휴식', '촬영지']"
황지연못,강원 태백시 황지연못길 12 황지연못(문화관광해설사의집),37.172898,128.9908975,3.91,"['조그마한', '재미있는', '화려한', '작은규모', '옛모습', '박물관', '공원', '시장', '물닭갈비', '동굴', '가족여행', '경치', '힐링', '등산', '기차여행']"
토왕성폭포,강원 속초시 설악동,38.1681813,128.4769101,4.75,"['깨끗한', '화려한', '편안한', '웅장한', '신비로운', '폭포', '전망대', '트래킹', '계곡', '국립공원', '경치', '산행', '등산', '숨은', '휴식']"
고씨동굴,강원 영월군 김삿갓면 진별리 산262,37.133607,128.5227603,4.22,"['재미있는', '화려한', '신비로운', '웅장한', '신비한', '전망대', '칡국수', '래프팅', '동굴', '글램핑', '공포체험', '가족여행', '경치', '등산', '기차여행']"
한반도지형,강원 영월군 한반도면 옹정리,37.2248413,128.3513942,4.19,"['재미있는', '깨끗한', '화려한', '신비로운', '소박한', '계곡', '전망대', '뗏목', '동굴', '캠핑', '가족여행', '경치', '드라이브', '등산', '기차여행']"
애니메이션박물관,강원 춘천시 서면 박사로 854 춘천애니메이션,37.8930556,127.6919444,4.43,"['작은공간', '재미있는', '화려한', '신비한', '아기자기', '닭갈비', '체험학습', '박물관', '공연', '목장', '주말나들이', '가족여행', '가족나들이', '체험관', '기차여행']"
청간정,강원 고성군 토성면 청간리,38.2682047,128.5460466,4.67,"['고즈넉한', '화려한', '웅장한', '몽환적인', '깨끗한', '야경', '해변', '산책로', '일몰', '일출', '가족여행', '경치', '힐링', '휴식', '촬영지']"
강릉선교장,강원 강릉시 운정길 63 선교장,37.786655,128.885,4.4,"['화려한', '고즈넉한', '멋스러운', '운치있는', '품위있는', '박물관', '해변', '순두부', '둘레길', '연꽃', '전통체험', '가족여행', '경치', '유물', '체험관']"
삼부연폭포,강원 철원군 갈말읍 신철원리,38.1285745,127.3415331,4,"['깨끗한', '신비로운', '웅장한', '신비한', '저수지', '계곡', '공원', '동굴', '폭포', '드라이브', '경치', '산행', '등산', '나들이']"
동명항,강원 속초시 동명동,38.2125972,128.5957922,4.23,"['재미있는', '활기찬', '깨끗한', '화려한', '신비한', '새우튀김', '수산시장', '횟집', '항구', '포장마차', '가족여행', '경치', '싱싱한', '드라이브', '힐링']"
봉포해수욕장,강원 고성군 토성면,38.2571927,128.558578,4.23,"['아담한', '깨끗한', '이국적', '편안한', '웅장한', '물회', '해변', '스노클링', '대게', '캠핑', '가족여행', '경치', '싱싱한', '힐링', '드라이브']"
간현관광지,강원 원주시 지정면 소금산길 26,37.3650197,127.8322846,4.49,"['재미있는', '평온한', '깨끗한', '아담한', '쾌적한', '계곡', '유원지', '레일바이크', '암벽등반', '캠핑', '힐링', '경치', '드라이브', '등산', '산행']"
원주소금산출렁다리,강원 원주시 지정면 소금산길 14,37.3646161,127.8336346,4.35,"['재미있는', '멋스러운', '신비로운', '웅장한', '깨끗한', '케이블 카',' 전망대','가족여행','경치','촬영지','출렁다리' ,'산']"
왕곡마을,강원 고성군 죽왕면 오봉리,38.3389153,128.4993923,4.23,"['재미있는', '아담한', '고즈넉한', '소박한', '옛모습', '접시꽃', '둘레길', '해변', '산책', '한과', '전통체험', '경치', '힐링', '전통적인', '촬영지']"
정동진,강원 강릉시 강동면 정동진리,37.6892008,129.0243271,3.98,"['재미있는', '낭만적인', '깨끗한', '이국적', '편안한', '바다열차', '커피거리', '해변', '레일바이크', '일출', '가족여행', '경치', '가을여행', '드라이브', '기차여행']"
죽도해수욕장,강원 양양군 현남면,37.969241,128.7594439,4.32,"['재미있는', '낭만적인', '이국적', '편안한', '깨끗한', '스노클링', '계곡', '해변', '캠핑', '카라반', '핫플레이스', '경치', '힐링', '레포츠', '드라이브']"
자작도해수욕장,강원 고성군 죽왕면,38.3288177,128.5255585,4.33,"['아담한', '깨끗한', '친절한', '고급진', '웅장한', '물회', '해변', '캠핑', '파도타기', '스노클링', '갯벌체험', '가족여행', '경치', '휴식', '신선한']"
아침가리계곡,강원 인제군 기린면 진동리,37.9902067,128.4521075,4.13,"['재미있는', '근사한', '깨끗한', '편안한', '운치있는', '폭포', '트래킹', '휴양림', '계곡', '캠핑', '숨은', '경치', '산행', '등산', '휴식']"
