name,region,address,lon,lat,상태
임휴사,대구 달서구,대구광역시 달서구 앞산순환로 12-25,128.5604996,35.81014473,정좌표
중리동 곱창골목,대구 서구,대구광역시 서구 평리로35길 28-10,128.5439361,35.86233744,정좌표
진영P&T,대구 서구,대구광역시 서구 염색공단천로 31,128.5501852,35.89063937,정좌표
진주강씨모열각,대구 달성군,대구광역시 달성군 옥포면 옥포로 305,128.4899436,35.7690121,실패
첨모재·사효당,대구 달서구,대구광역시 달서구 월곡로26길 17-39,128.5499212,35.80888523,정좌표
청련암(대구),대구 달성군,대구광역시 달성군 가창면 남지장사길 127,128.6309352,35.73494145,정좌표
청호서원,대구 수성구,대구광역시 수성구 청호로 250-11,128.6409244,35.83944046,정좌표
최정산,대구 달성군,대구광역시 달성군 가창면 주리2길,128.6502814,35.76048506,인근좌표
충효당,대구 달성군,대구광역시 달성군 하빈면 육신사길 42,128.4165377,35.90914199,정좌표
칠곡향교,대구 북구,대구광역시 북구 칠곡중앙대로 597,128.5509621,35.94927446,정좌표
칠곡향교대성전,대구 북구,대구광역시 북구 칠곡중앙대로 597,128.5509621,35.94927446,정좌표
큰장길 침구류 명물거리,대구 서구,대구광역시 서구 큰장로 35,128.5737934,35.86338488,정좌표
파계사,대구 동구,대구광역시 동구 파계로 741,128.641304,36.00173733,정좌표
팔거산성,대구 북구,대구광역시 북구 노곡동,128.560064,35.909581,실패
팔공산 케이블카,대구 동구,대구광역시 동구 팔공산로185길 51,128.6948368,35.99089,정좌표
팔공산온천관광호텔(온천),대구 동구,대구광역시 동구 팔공산로185길 11,128.6925018,35.99090197,정좌표
팔공산자연공원(갓바위지구),대구 동구,대구광역시 동구 갓바위로 229,128.7262201,35.97110244,정좌표
팔공산자연공원(동화사지구),대구 동구,대구광역시 동구 팔공산로199길 6-1,128.6961732,35.98994251,정좌표
팔공산자연공원(파계사지구),대구 동구,대구광역시 동구 파계로 741,128.641304,36.00173733,정좌표
평광동 사과마을,대구 동구,대구광역시 동구 도평로116길 37,128.6904041,35.93301126,정좌표
하늘호수(대구),대구 중구,대구광역시 중구 공평로 3,128.5993255,35.86438233,정좌표
한국뇌연구원,대구 동구,대구광역시 동구 첨단로 61,128.7303539,35.88255475,정좌표
한국섬유개발연구원 (텍스토피아관),대구 서구,대구광역시 서구 국채보상로 136,128.5460751,35.86845283,정좌표
한국패션산업연구원,대구 동구,대구광역시 동구 팔공로45길 26,128.6378795,35.91891448,정좌표
한천서원,대구 달성군,대구광역시 달성군 가창면 가창동로 117,128.6543804,35.78010275,정좌표
해안팜스테이,대구 동구,대구광역시 동구 둔산로,128.6770788,35.90882094,실패
현풍 500년 느티나무 테마공원,대구 달성군,대구광역시 달성군 현풍면 비슬로 741,128.438029,35.702042,실패
현풍곽씨십이정려각,대구 달성군,대구광역시 달성군 현풍면 지동길 3,128.429433,35.666699,실패
현풍석빙고(상리석빙고),대구 달성군,대구광역시 달성군 현풍읍 상리1길 36,128.456945,35.7101002,정좌표
현풍포교당,대구 달성군,대구광역시 달성군 현풍면 현풍동로27길 54-6,128.446433,35.698104,실패
현풍향교,대구 달성군,대구광역시 달성군 현풍면 현풍동로20길 27-8,128.451803,35.701498,실패
홍의장군 곽망우당 묘소,대구 달성군,대구광역시 달성군 구지면 대암리,128.404639,35.629901,실패
화암서원,대구 북구,대구광역시 북구 노곡로5길 7-18,128.5617997,35.90570943,정좌표
화원동산,대구 달성군,대구광역시 달성군 화원읍 사문진로1길 40-12,128.4779211,35.81090234,정좌표
화장사(대구),대구 달성군,대구광역시 달성군 화원읍 천내리 516-1,128.5024349,35.80317205,정좌표
환성정,대구 북구,대구광역시 북구 호국로51길 45-17,128.5932705,35.9251745,정좌표
회진당원의대사지비,대구 동구,대구광역시 동구 파계로 741,128.641304,36.00173733,정좌표
